product_id,category,review_cnt,avg_text_len,positive_rate,negative_rate,sentiment_中评_rate,sentiment_好评_rate,sentiment_差评_rate,intent_价格优惠_rate,intent_售后退换_rate,intent_商品反馈_rate,intent_商品咨询_rate,intent_喂养咨询_rate,intent_未知意图_rate,intent_物流发货_rate,bert_pca_0,bert_pca_1,bert_pca_2,bert_pca_3,bert_pca_4,bert_pca_5,bert_pca_6,bert_pca_7,bert_pca_8,bert_pca_9,bert_pca_10,bert_pca_11,bert_pca_12,bert_pca_13,bert_pca_14,bert_pca_15,bert_pca_16,bert_pca_17,bert_pca_18,bert_pca_19,bert_pca_20,bert_pca_21,bert_pca_22,bert_pca_23,bert_pca_24,bert_pca_25,bert_pca_26,bert_pca_27,bert_pca_28,bert_pca_29,bert_pca_30,bert_pca_31,bert_pca_32,bert_pca_33,bert_pca_34,bert_pca_35,bert_pca_36,bert_pca_37,bert_pca_38,bert_pca_39,bert_pca_40,bert_pca_41,bert_pca_42,bert_pca_43,bert_pca_44,bert_pca_45,bert_pca_46,bert_pca_47,bert_pca_48,bert_pca_49,bert_pca_50,bert_pca_51,bert_pca_52,bert_pca_53,bert_pca_54,bert_pca_55,bert_pca_56,bert_pca_57,bert_pca_58,bert_pca_59,bert_pca_60,bert_pca_61,bert_pca_62,bert_pca_63
100112272948,dog_food,39,65.66666666666667,0.8205128205128205,0.0769230769230769,0.0769230769230769,0.8461538461538461,0.0769230769230769,0.0512820512820512,0.0512820512820512,0.0256410256410256,0.5897435897435898,0.1538461538461538,0.0,0.1282051282051282,-3.599862,-1.3710395,-0.6073704,-0.08767566,1.482178,-0.46404746,0.30554125,-0.28679383,0.57320166,0.05340417,-0.32234004,-0.29859182,1.214431,0.49421716,0.54516333,-0.061994884,-0.4571203,-0.09190698,-0.17164107,-0.05569205,0.3251213,-0.039209653,-0.31311408,0.031624116,0.10844047,0.63439953,-0.024541983,-0.017881872,0.0644319,-0.090984136,0.031095881,-0.13471645,-0.28754553,-0.12815422,-0.16029355,-0.17878549,-0.07895324,-0.1445993,-0.07262532,0.019890947,-0.07894402,0.09892901,0.07361111,0.13617894,0.08240177,0.020982364,0.16931216,0.043804616,-0.011831228,-0.05553303,0.0705513,0.032094467,-0.2024756,-0.018568572,0.31672812,-0.0258075,0.17034191,0.03983856,-0.032441728,-0.13379848,-0.13796063,-0.08326391,-0.114176236,-0.06925057
100114512933,dog_food,52,39.36538461538461,0.9807692307692308,0.0,0.0192307692307692,0.9807692307692308,0.0,0.1346153846153846,0.0,0.0,0.5769230769230769,0.1538461538461538,0.0192307692307692,0.1153846153846153,-1.903747,-0.7411969,1.1228864,1.5986148,1.7354636,1.2752178,0.41859037,-0.33907458,-0.33231956,1.0543469,-0.42139876,-0.52781165,0.41886693,0.12958518,0.02429439,-0.2501774,-0.5027204,-0.10454699,0.20092703,-0.34677407,0.30148488,0.14361826,0.0018644797,0.02169277,-0.20937584,-0.35338303,0.09155409,0.036632843,0.03981283,-0.2102967,-0.0067526046,-0.124108166,-0.105433434,0.06613653,-0.33053738,-0.0135701485,0.005094813,0.040155172,0.13463807,-0.097137704,-0.08235741,-0.02970155,0.15842798,0.025514575,-0.0470564,-0.09671473,0.034903076,0.022402922,-0.058987252,-0.14416246,0.008735305,-0.14779836,0.2700328,-0.18368658,0.08058891,0.0024664712,-0.096616596,0.19557306,0.019189034,0.0050273687,-0.123290345,0.056300655,-0.06628085,-0.0053400453
100115256936,pet_product,17,35.411764705882355,0.7647058823529411,0.1176470588235294,0.1176470588235294,0.7647058823529411,0.1176470588235294,0.0,0.0,0.0,0.9411764705882352,0.0,0.0588235294117647,0.0,1.3196462,1.2532346,2.494765,0.80974156,-1.2774644,-0.65592897,-0.08317047,-0.5204159,-0.16951819,-0.7460635,0.35237375,1.1969506,1.5624202,1.0185567,1.942661,0.48582196,-0.10906528,0.78598136,-0.20509362,0.039847597,-2.4297097,0.36544192,0.8860173,1.2908595,1.0900965,-0.8400197,0.7012811,-0.74893713,-0.6783666,0.61542034,-0.21201903,-0.07213365,-0.29530203,0.18404315,0.41706443,0.37107587,0.2414072,0.33603126,0.9320647,0.29824805,0.02769353,-0.2888016,0.06293142,0.0585852,0.682549,-0.35745987,-0.09619791,-0.011168681,-0.111877315,-0.1846259,0.42696694,0.42820477,0.19735716,-0.39218333,0.11110368,-0.15924092,0.46353233,0.06205899,-0.3626877,0.17390803,0.24782975,0.3115638,-0.08356516,-0.24808948
100115256962,pet_product,17,39.1764705882353,0.7647058823529411,0.1764705882352941,0.0588235294117647,0.7647058823529411,0.1764705882352941,0.1176470588235294,0.0,0.2352941176470588,0.5294117647058824,0.0,0.0588235294117647,0.0588235294117647,0.8669324,2.1301806,1.8247683,1.0102476,-1.0266542,-0.90855694,0.4862382,-0.18176872,-0.4787414,-1.069423,-0.4190503,1.0415142,0.7935424,1.2365046,2.1100435,0.786522,-0.17951351,0.5429552,-0.34041554,-0.07872368,-2.1695907,0.31948236,0.9986426,1.141902,0.83166724,-0.9395795,0.31777862,-0.7759682,-0.2435926,0.8435254,-0.75215006,0.36625633,-0.06946558,-0.08440408,0.33878928,0.048924576,0.32916003,0.2700947,0.77487123,0.31882566,0.33718616,-0.29504448,-0.28884298,0.3829045,0.70837593,-0.22556828,0.013718896,0.13001338,-0.10568527,-0.25603145,0.5433758,0.4971929,0.09815245,-0.40977502,0.14390329,-0.31388736,0.37319353,0.24875319,-0.1659717,-0.20861731,0.23026744,0.12261726,0.30223122,-0.18131812
100121467835,dog_food,36,67.11111111111111,1.0,0.0,0.0,1.0,0.0,0.3333333333333333,0.0277777777777777,0.0,0.3888888888888889,0.1666666666666666,0.0,0.0833333333333333,-2.4993489,-0.26270565,1.1019686,0.5020532,0.93682384,1.1436111,-0.3706859,-0.257365,-0.10045265,1.0064543,-0.19851056,-0.3867203,0.8706633,-0.32422405,-0.107761264,0.12737602,-0.42836368,-0.29673812,-0.2852689,0.07344581,0.00817227,0.018483609,0.12037054,-0.15825322,0.06528376,-0.11681541,-0.048818387,-0.14483649,0.1225518,-0.23415817,-0.10307787,-0.045459118,-0.1063793,0.22827233,0.006056582,-0.11357775,0.07052544,0.22770521,0.13617314,0.008257936,0.023687975,0.10660398,-0.1242483,-0.11807757,-0.12825689,-0.030590836,-0.052988324,-0.081147656,-0.14652798,0.0768911,0.090471625,-0.13902335,0.10747482,-0.046910238,0.17715982,0.11813702,-0.1720282,0.040338613,0.016933994,-0.22826621,0.014382414,0.22093774,-0.06514557,-0.067633934
100122162329,dog_food,10,56.4,0.9,0.1,0.0,0.9,0.1,0.6,0.0,0.0,0.2,0.0,0.0,0.2,-2.5311484,0.9713804,-1.0182164,0.7157112,1.6538117,0.9851082,1.1406295,-0.06636089,0.74478596,-0.69649017,0.47067946,-0.66400456,0.4929498,-0.19746773,0.28973693,-0.83429366,-0.36784828,0.04107126,-0.26944333,0.028437829,0.40672773,0.5985613,0.36660463,-0.11731918,0.6524539,0.07839868,-0.17913678,0.6056815,0.21368769,-0.007828039,0.30785552,0.22750774,-0.10126356,0.3305319,-0.22137237,0.09629778,0.29532203,-0.24898997,-0.10239468,-0.105786994,-0.12384735,0.07250231,0.23577984,0.12314315,-0.15929468,-0.06135763,0.070698045,0.059561618,-0.18856773,-0.25860938,0.0147199035,-0.07394201,0.27957082,-0.07517402,-0.107671544,0.189697,0.19098833,0.24927457,0.30698794,-0.36455855,-0.08997069,-0.036139477,0.32710046,-0.35896128
100136079282,dog_food,74,44.054054054054056,0.9864864864864864,0.0135135135135135,0.0,0.9864864864864864,0.0135135135135135,0.081081081081081,0.0135135135135135,0.0,0.5945945945945946,0.1486486486486486,0.0,0.1621621621621621,-1.5410839,-0.83661175,1.060184,1.3021637,1.6770602,0.7511243,0.13016404,0.4781576,-0.39392853,0.94400674,-0.57326525,-0.21457277,0.66784155,0.016213644,0.05528852,-0.14130114,-0.42621127,0.052743334,0.10063478,0.04939192,0.067164846,0.12132009,-0.16709638,-0.044077177,-0.2744619,-0.08466446,0.018347057,0.03214037,0.15631199,-0.22576337,-0.01120933,0.24978578,-0.23889203,-0.02627309,-0.12900227,0.18389764,0.14698377,0.001792687,0.056227632,-0.08203805,0.01656907,0.079979844,0.0132326,0.15676846,-0.013926704,-0.19610819,-0.06796987,0.046949916,-0.052237444,-0.13607864,0.013399181,-0.07329361,0.09999849,-0.11238504,-0.013616833,-0.031653687,-0.061941985,0.11596038,-0.039492775,-0.07448951,0.057338774,0.07028602,0.06359788,-0.07099106
100136079284,dog_food,15,41.333333333333336,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.2666666666666666,0.0,0.0666666666666666,-2.6438704,-0.33603907,0.80843794,1.678246,1.248181,1.6672982,0.71462286,0.067374036,-0.1572009,1.182518,-0.4437936,-0.6034809,-0.08575761,0.024369871,0.38810834,0.19498904,-1.0302745,0.094206706,0.0090981405,-0.3133112,0.24642064,-0.12266941,0.09797939,0.053794272,-0.17482278,0.016257595,0.32124278,0.03432825,0.0028799535,-0.1150291,0.29016623,-0.16990489,-0.08934142,0.33418056,-0.031991433,0.28554562,0.11753333,0.27654824,-0.0049420516,-0.15674537,0.031000227,-0.22223417,0.062967375,-0.2297578,-0.19953948,0.12735365,-0.034979034,-0.09531878,-0.16984113,-0.11834776,-0.00804956,-0.23991865,0.1048973,-0.2350717,0.116349176,0.06582887,0.003798884,0.011370107,-0.014701251,-0.013315852,0.5215383,0.282169,0.018960522,-0.06560237
100151315926,cat_food,4,46.0,0.75,0.0,0.25,0.75,0.0,0.0,0.25,0.0,0.5,0.0,0.0,0.25,-1.182221,0.70096934,1.169137,2.3717601,0.44591182,2.6753101,0.22536822,-0.1730458,-0.8484678,0.2760902,0.9564202,0.8133905,-1.5921192,-0.4317861,0.2906539,-0.80178237,-0.5499988,-0.3387146,0.40242043,-0.30715996,-1.0891409,-1.1070532,0.093685284,0.124854974,-0.29721606,0.68253535,0.50064945,-0.34616876,0.54463255,0.90417254,-0.110964686,-0.25389433,0.14648584,-0.1225729,0.017580181,0.496531,0.16262294,-0.065961674,-0.2536201,0.74460864,0.24429773,-0.08082095,0.05939342,0.46751583,0.033216506,0.12440424,-0.21259846,-0.0036026295,0.15722358,-0.42785987,-0.27752882,-0.14916678,-0.12160567,0.6102877,-0.123832054,-0.07048642,-0.17507778,-0.28124902,-0.53165376,-0.2350792,-0.3838108,-0.3358599,-0.10784816,-0.14212328
100153216861,cat_food,6,66.16666666666667,1.0,0.0,0.0,1.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.1666666666666666,0.0,0.1666666666666666,-3.807315,0.3109181,-0.3066931,1.2495236,0.32149273,1.022817,-1.0709715,-0.43928996,-0.58725405,-1.0095602,0.0881618,-0.022160253,-1.1832812,-0.5367548,-0.009015441,-1.0162505,0.33172768,0.32430202,-0.5458396,-0.6298713,-0.4890375,0.015444701,-0.2188256,0.71514267,-0.63216174,-0.16936572,0.07445728,-0.1410354,0.14411722,0.2736515,-0.10861101,-0.32941374,-0.0039356053,-0.22185743,-0.20110536,-0.115154065,-0.19394548,-0.10632068,-0.28981465,0.3255343,-0.23965509,0.021234289,-0.3017969,-0.16549711,-0.18778366,0.19258697,-0.041125253,0.20783831,0.2583584,-0.1580911,0.5597801,-0.08016206,-0.18071914,-0.20929633,-0.14284806,-0.32867208,-0.2471,0.04046261,0.19755936,-0.00031984597,-0.16971982,-0.0117205335,0.33489534,0.18558711
100153216863,cat_food,5,68.4,1.0,0.0,0.0,1.0,0.0,0.4,0.0,0.0,0.2,0.0,0.0,0.4,-5.067108,0.12596293,-0.1973367,1.0608723,1.4350097,0.7832325,-0.29204723,-0.021597361,0.28128183,-0.9785465,0.18493158,0.8525683,-0.6462591,0.25772303,-1.0235165,-0.18208744,1.0364857,-0.13855015,-0.021208871,-0.46296126,0.08911602,-0.30999532,0.06092559,0.066745564,0.36156103,-0.016926337,-0.40264425,-0.6189247,-0.17914973,0.18142314,0.2535599,-0.1786282,0.26012814,-0.15814991,0.012892437,0.05498321,-0.18340242,-0.2923831,-0.0028044463,0.03651469,-0.25579053,-0.056535326,-0.258983,0.12475254,0.5154902,0.13624668,0.2439137,0.04838554,0.021618342,0.28846428,-0.06889963,-0.0633773,0.064842895,-0.08105433,-0.3642752,0.0010367915,-0.02861849,0.014519453,0.053061165,-0.12726545,0.29190663,-0.14472637,0.06769519,0.20588815
