user_id,product_id,model_version,score,rank_no,reason_json
3,100064200322,xgb_user_item_v2,0.5977714657783508,18,"{""source"": ""xgb_user_item""}"
3,100008164593,xgb_user_item_v2,0.589329183101654,19,"{""source"": ""xgb_user_item""}"
3,100288929442,xgb_user_item_v2,0.5862635970115662,20,"{""source"": ""xgb_user_item""}"
4,13065559672,xgb_user_item_v2,0.9632025361061096,1,"{""source"": ""xgb_user_item""}"
4,5475198,xgb_user_item_v2,0.9526931643486023,2,"{""source"": ""xgb_user_item""}"
4,100019031805,xgb_user_item_v2,0.9393442273139954,3,"{""source"": ""xgb_user_item""}"
4,10098681688567,xgb_user_item_v2,0.9172648191452026,4,"{""source"": ""xgb_user_item""}"
4,3409140,xgb_user_item_v2,0.907688558101654,5,"{""source"": ""xgb_user_item""}"
4,4246911,xgb_user_item_v2,0.9014984369277954,6,"{""source"": ""xgb_user_item""}"
4,100111748405,xgb_user_item_v2,0.8829867243766785,7,"{""source"": ""xgb_user_item""}"
4,100288929442,xgb_user_item_v2,0.8735707402229309,8,"{""source"": ""xgb_user_item""}"
4,10042124137320,xgb_user_item_v2,0.8543652892112732,9,"{""source"": ""xgb_user_item""}"
4,11819155539,xgb_user_item_v2,0.8388240337371826,10,"{""source"": ""xgb_user_item""}"
4,100154268305,xgb_user_item_v2,0.8252490758895874,11,"{""source"": ""xgb_user_item""}"
4,100009013165,xgb_user_item_v2,0.8207138180732727,12,"{""source"": ""xgb_user_item""}"
4,100008149331,xgb_user_item_v2,0.7940942049026489,13,"{""source"": ""xgb_user_item""}"
4,1682006,xgb_user_item_v2,0.7770010828971863,14,"{""source"": ""xgb_user_item""}"
4,100136079282,xgb_user_item_v2,0.7664316296577454,15,"{""source"": ""xgb_user_item""}"
4,100121467835,xgb_user_item_v2,0.7378661632537842,16,"{""source"": ""xgb_user_item""}"
4,100064236882,xgb_user_item_v2,0.7086562514305115,17,"{""source"": ""xgb_user_item""}"
4,3197429,xgb_user_item_v2,0.6975433826446533,18,"{""source"": ""xgb_user_item""}"
4,100162461068,xgb_user_item_v2,0.6949238777160645,19,"{""source"": ""xgb_user_item""}"
4,100154268303,xgb_user_item_v2,0.6808578372001648,20,"{""source"": ""xgb_user_item""}"
5,4246911,xgb_user_item_v2,0.9883348941802979,1,"{""source"": ""xgb_user_item""}"
5,100114512933,xgb_user_item_v2,0.9693878889083862,2,"{""source"": ""xgb_user_item""}"
5,100019031805,xgb_user_item_v2,0.968346118927002,3,"{""source"": ""xgb_user_item""}"
5,100154268303,xgb_user_item_v2,0.9536792039871216,4,"{""source"": ""xgb_user_item""}"
5,10042124137320,xgb_user_item_v2,0.9372841715812683,5,"{""source"": ""xgb_user_item""}"
5,100008164593,xgb_user_item_v2,0.9343655705451965,6,"{""source"": ""xgb_user_item""}"
5,11819155539,xgb_user_item_v2,0.9338890314102173,7,"{""source"": ""xgb_user_item""}"
5,13065559672,xgb_user_item_v2,0.9192721247673035,8,"{""source"": ""xgb_user_item""}"
5,100021518453,xgb_user_item_v2,0.9081350564956665,9,"{""source"": ""xgb_user_item""}"
5,71577466395,xgb_user_item_v2,0.8676489591598511,10,"{""source"": ""xgb_user_item""}"
5,3627320,xgb_user_item_v2,0.865187406539917,11,"{""source"": ""xgb_user_item""}"
5,100215876924,xgb_user_item_v2,0.8414113521575928,12,"{""source"": ""xgb_user_item""}"
5,100064200322,xgb_user_item_v2,0.8322393298149109,13,"{""source"": ""xgb_user_item""}"
5,10121602694516,xgb_user_item_v2,0.8318934440612793,14,"{""source"": ""xgb_user_item""}"
5,1682006,xgb_user_item_v2,0.8296080827713013,15,"{""source"": ""xgb_user_item""}"
5,100112272948,xgb_user_item_v2,0.8275974988937378,16,"{""source"": ""xgb_user_item""}"
5,100195732408,xgb_user_item_v2,0.7957667708396912,17,"{""source"": ""xgb_user_item""}"
5,100136079284,xgb_user_item_v2,0.7249158620834351,18,"{""source"": ""xgb_user_item""}"
5,100012706282,xgb_user_item_v2,0.7241889834403992,19,"{""source"": ""xgb_user_item""}"
5,100002187047,xgb_user_item_v2,0.7080633640289307,20,"{""source"": ""xgb_user_item""}"
6,100017016045,xgb_user_item_v2,0.9571694135665894,1,"{""source"": ""xgb_user_item""}"
6,10098681688567,xgb_user_item_v2,0.9528220295906067,2,"{""source"": ""xgb_user_item""}"
6,5475198,xgb_user_item_v2,0.9075139760971069,3,"{""source"": ""xgb_user_item""}"
6,100203000971,xgb_user_item_v2,0.8562057018280029,4,"{""source"": ""xgb_user_item""}"
6,3409140,xgb_user_item_v2,0.8480225205421448,5,"{""source"": ""xgb_user_item""}"
6,100111748405,xgb_user_item_v2,0.8030813336372375,6,"{""source"": ""xgb_user_item""}"
6,100070794980,xgb_user_item_v2,0.8027476072311401,7,"{""source"": ""xgb_user_item""}"
6,11819155539,xgb_user_item_v2,0.8023661375045776,8,"{""source"": ""xgb_user_item""}"
6,100002187047,xgb_user_item_v2,0.7876372933387756,9,"{""source"": ""xgb_user_item""}"
6,10042124137320,xgb_user_item_v2,0.7307549715042114,10,"{""source"": ""xgb_user_item""}"
6,10037128752741,xgb_user_item_v2,0.6864814162254333,11,"{""source"": ""xgb_user_item""}"
6,100114512933,xgb_user_item_v2,0.6755730509757996,12,"{""source"": ""xgb_user_item""}"
6,4246893,xgb_user_item_v2,0.6740663051605225,13,"{""source"": ""xgb_user_item""}"
6,69673075023,xgb_user_item_v2,0.6719329357147217,14,"{""source"": ""xgb_user_item""}"
6,100136079282,xgb_user_item_v2,0.6701824069023132,15,"{""source"": ""xgb_user_item""}"
6,10087901051820,xgb_user_item_v2,0.669954240322113,16,"{""source"": ""xgb_user_item""}"
6,13065559672,xgb_user_item_v2,0.6285393238067627,17,"{""source"": ""xgb_user_item""}"
6,100064200322,xgb_user_item_v2,0.5977714657783508,18,"{""source"": ""xgb_user_item""}"
6,100008164593,xgb_user_item_v2,0.589329183101654,19,"{""source"": ""xgb_user_item""}"
6,100288929442,xgb_user_item_v2,0.5862635970115662,20,"{""source"": ""xgb_user_item""}"
7,100017016045,xgb_user_item_v2,0.9571694135665894,1,"{""source"": ""xgb_user_item""}"
7,10098681688567,xgb_user_item_v2,0.9528220295906067,2,"{""source"": ""xgb_user_item""}"
7,5475198,xgb_user_item_v2,0.9075139760971069,3,"{""source"": ""xgb_user_item""}"
7,100203000971,xgb_user_item_v2,0.8562057018280029,4,"{""source"": ""xgb_user_item""}"
7,3409140,xgb_user_item_v2,0.8480225205421448,5,"{""source"": ""xgb_user_item""}"
